"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"B101"	"B102"	"B103"	"B104"	"B105"	"B106"	"B107"	"B108"	"B109"	"B110"	"B111"	"B112"	"B113"	"B114"	"B115"	"B116"	"B117"	"B118"	"B119"	"B120"	"B121"	"B122"	"B123"	"B124"	"B210"	"B206"	"B221"	"B217"	"B212"	"B218"	"B203"	"B213"	"B219"	"B223"	"B208"	"B220"	"B207"	"B209"	"B205"	"B204"	"B215"	"B201"	"B222"	"B224"	"B202"	"B211"	"B216"	"B214"	"B301"	"B302"	"B303"	"B304"	"B305"	"B306"	"B307"	"B308"	"B309"	"B310"	"B311"	"B312"	"B313"	"B314"	"B315"	"B316"	"B317"	"B318"	"B319"	"B320"	"B321"	"B322"	"B323"	"B324"	"B401"	"B402"	"B403"	"B404"	"B405"	"B406"	"B407"	"B408"	"B409"	"B410"	"B411"	"B412"	"B413"	"B414"	"B415"	"B416"	"B417"	"B418"	"B419"	"B420"	"B421"	"B422"	"B423"	"B424"	"B501"	"B502"	"B503"	"B504"	"B505"	"B506"	"B507"	"B508"	"B509"	"B510"	"B511"	"B512"	"B513"	"B514"	"B515"	"B516"	"B517"	"B518"	"B519"	"B520"	"B521"	"B522"	"B523"	"B524"	"B601"	"B602"	"B603"	"B604"	"B605"	"B606"	"B607"	"B608"	"B609"	"B610"	"B611"	"B612"	"B613"	"B614"	"B615"	"B616"	"B617"	"B618"	"B619"	"B620"	"B621"	"B622"	"B623"	"B624"	"B701"	"B702"	"B703"	"B704"	"B705"	"B706"	"B707"	"B708"	"B709"	"B710"	"B711"	"B712"	"B713"	"B714"	"B715"	"B716"	"B717"	"B718"	"B719"	"B720"	"B721"	"B722"	"B723"	"B724"	"B801"	"B802"	"B803"	"B804"	"B805"	"B806"	"B807"	"B808"	"B809"	"B810"	"B811"	"B812"	"B813"	"B814"	"B815"	"B816"	"B817"	"B818"	"B819"	"B820"	"B821"	"B822"	"B823"	"B824"	"B907"	"B916"	"B905"	"B903"	"B904"	"B921"	"B906"	"B914"	"B901"	"B924"	"B911"	"B913"	"B915"	"B908"	"B912"	"B917"	"B910"	"B920"	"B902"	"B923"	"B918"	"B909"	"B922"	"B919"	"C101"	"C102"	"C103"	"C104"	"C105"	"C106"	"C107"	"C108"	"C109"	"C110"	"C111"	"C112"	"C113"	"C114"	"C115"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C122"	"C123"	"C124"	"C201"	"C202"	"C203"	"C204"	"C205"	"C206"	"C207"	"C208"	"C209"	"C210"	"C211"	"C212"	"C213"	"C214"	"C215"	"C216"	"C217"	"C218"	"C219"	"C220"	"C221"	"C222"	"C223"	"C224"	"C301"	"C302"	"C303"	"C304"	"C305"	"C306"	"C307"	"C308"	"C309"	"C310"	"C311"	"C312"	"C313"	"C314"	"C315"	"C316"	"C317"	"C318"	"C319"	"C320"	"C321"	"C322"	"C323"	"C324"	"C349_01"	"DE02"	"DE02_06"	"DE07"	"DE09"	"DE05"	"DE05_01"	"DE08"	"FB01_01"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
1157	"CASE001156"	"1156"	"bogen3"	"interview"	2022-06-14 15:18:59																																																	1	2	1	1	1	1	1	2	1	1	2	1	2	2	2	1	1	2	2	2	1	2	2	2																																																																																																																																																																																																																										5		2	4	2			"Good luck with the experiment!"	12	139	322	12	46	498		2022-06-14 15:27:50	1	0	5	5	0	0	0.8	5
1161	"CASE001160"	"1160"	"bogen8"	"interview"	2022-06-14 15:42:08																																																																																																																																																																									2	2	1	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	2	2																																																																																																		4		1		2				18	40	102	17	4	181		2022-06-14 15:45:09	1	0	5	5	4	1	1.47	41
1167	"CASE001166"	"1166"	"bogen12"	"interview"	2022-06-14 16:43:58																																																																																																																																																																																																																																																																									1	2	1	1	2	1	1	2	1	1	2	2	1	2	1	2	2	1	1	1	1	2	2	1		4		3	2	2				153	64	280	25	16	538		2022-06-14 16:52:56	1	0	5	5	3	1	0.82	1
1175	"CASE001174"	"1174"	"bogen2"	"interview"	2022-06-14 17:19:36																									1	2	2	1	1	1	1	2	2	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																		4		1		2				68	128	193	13	2	404		2022-06-14 17:26:20	1	0	5	5	7	1	1.29	27
1193	"CASE001192"	"1192"	"bogen12"	"interview"	2022-06-14 18:48:07																																																																																																																																																																																																																																																																									2	1	1	2	2	1	1	2	1	2	2	2	2	1	2	2	2	2	1	2	1	1	2	1		5		1		2			"to be honest, for me, it was more of a guessing, than having an imagination of possibilities of KI"	135	343	416	25	61	980		2022-06-14 19:04:27	1	0	5	5	0	0	0.44	0
1201	"CASE001200"	"1200"	"bogen8"	"interview"	2022-06-14 18:57:32																																																																																																																																																																									2	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	2	1	2	1	2	2	2	2																																																																																																		2		1		2			"Make the intro easier to understand. Its a bit much to wrap ones head around quickly"	19	171	332	47	55	624		2022-06-14 19:07:56	1	0	5	5	0	0	0.39	0
1205	"CASE001204"	"1204"	"bogen6"	"interview"	2022-06-14 19:42:50																																																																																																																									2	1	2	1	1	2	1	2	1	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2																																																																																																																																																		3		2	4	1	"red green color blindness, astigmatism"	3		6	206	272	27	10	0		2022-06-14 19:51:31	1	0	5	5	3	1		100
1207	"CASE001206"	"1206"	"bogen11"	"interview"	2022-06-14 19:43:27																																																																																																																																																																																																																																																	2	2	1	1	1	2	2	2	1	1	2	1	1	2	1	2	1	2	2	1	2	2	1	1																										1		1		2				80	191	274	29	4	578		2022-06-14 19:53:05	1	0	5	5	4	1	0.86	8
1213	"CASE001212"	"1212"	"bogen5"	"interview"	2022-06-14 19:58:45																																																																																																	2	1	2	2	2	2	1	1	1	2	1	1	2	2	1	1	1	2	2	2	2	2	2	1																																																																																																																																																																										5		2	4	2				39	149	219	31	10	0		2022-06-14 20:06:13	1	0	5	5	3	1		100
1223	"CASE001222"	"1222"	"bogen8"	"interview"	2022-06-14 21:04:28																																																																																																																																																																									2	1	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	2	2	1																																																																																																		5		5	3	2			"Good to outcome in the future "	94	141	207	36	38	431		2022-06-14 21:13:04	1	0	5	5	0	0	0.43	0
1227	"CASE001226"	"1226"	"bogen6"	"interview"	2022-06-14 22:16:59																																																																																																																									2	1	1	2	1	2	2	2	1	2	1	2	2	1	2	1	2	1	2	2	2	1	1	2																																																																																																																																																		3		1		2				3	5	115	31	2	0		2022-06-14 22:19:35	1	0	5	5	4	1		100
1229	"CASE001228"	"1228"	"bogen10"	"interview"	2022-06-15 00:23:00																																																																																																																																																																																																																									1	1	2	1	2	1	2	2	1	2	1	1	1	2	1	2	1	1	2	1	2	2	2	1																																																		3		1		2				130	367	589	74	17	0		2022-06-15 00:42:37	1	0	5	5	4	1		100
1235	"CASE001234"	"1234"	"bogen4"	"interview"	2022-06-15 08:08:25																																																																									1	1	2	2	1	2	1	1	1	1	2	2	2	2	1	1	1	2	1	1	2	2	1	1																																																																																																																																																																																																		4		3	3	2				100	504	933	16	48	0		2022-06-15 08:35:06	1	0	5	5	3	1		100
1239	"CASE001238"	"1238"	"bogen6"	"interview"	2022-06-15 09:10:46																																																																																																																									2	1	1	2	1	1	2	2	1	2	1	1	2	1	1	2	2	2	2	2	2	2	2	2																																																																																																																																																		5		3	2	2			"Based on my knowledge of image recognition and adversarial attacks, it is really hard to judge if the images were classified correctly. Knowing the decision, the coloring and explanation might be helpful to understand the reasons for a correct or incorrect classification. However, without knowing the classification, it relay can be hard because even if distinctive and descriptive features might have been used for the classification, it still can be very wrong."	17	177	272	24	320	0		2022-06-15 09:24:16	1	0	5	5	0	0		100
1249	"CASE001248"	"1248"	"bogen2"	"interview"	2022-06-15 12:36:07																									1	2	2	1	1	2	1	2	2	2	1	1	1	1	1	1	2	1	1	1	2	1	2	1																																																																																																																																																																																																																																																		2		3	3	2				81	87	561	32	7	402		2022-06-15 12:48:55	1	0	5	5	7	1	0.68	2
1253	"CASE001252"	"1252"	"bogen5"	"interview"	2022-06-15 13:08:48																																																																																																	1	2	2	2	2	2	2	1	2	1	1	2	2	2	2	1	2	2	2	1	1	2	2	1																																																																																																																																																																										2		3	3	2			"Good explanation s, nice samples"	40	221	170	15	38	0		2022-06-15 13:16:53	1	0	5	5	0	0		100
1255	"CASE001254"	"1254"	"bogen10"	"interview"	2022-06-15 13:11:18																																																																																																																																																																																																																									1	1	2	2	1	1	2	2	1	1	1	1	1	2	1	2	1	1	2	1	2	2	2	1																																																		3		1		2				7	59	161	13	29	0		2022-06-15 13:15:47	1	0	5	5	4	1		100
1257	"CASE001256"	"1256"	"bogen3"	"interview"	2022-06-15 14:04:31																																																	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1																																																																																																																																																																																																																										5		2	3	2			"Put the back button also at the top"	30	116	211	14	23	394		2022-06-15 14:11:05	1	0	5	5	0	0	0.79	3
1259	"CASE001258"	"1258"	"bogen12"	"interview"	2022-06-15 14:54:58																																																																																																																																																																																																																																																																									1	1	1	2	1	1	1	2	1	1	2	2	2	1	2	2	2	1	1	1	2	2	2	1		3		1		2			"That was an amazing test, I tried to focus on colored parts of pictures, but still not sure if I was wrong. Btw, good luck to the authors, they did an amazing job! "	37	68	456	68	179	602		2022-06-15 15:08:26	1	0	5	5	0	0	0.53	1
1267	"CASE001266"	"1266"	"bogen3"	"interview"	2022-06-15 15:26:05																																																	1	2	1	1	1	1	1	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	2	2																																																																																																																																																																																																																										1		1		2				29	95	439	20	24	607		2022-06-15 15:36:12	1	0	5	5	4	1	0.65	0
1270	"CASE001269"	"1269"	"bogen9"	"interview"	2022-06-15 15:28:11																																																																																																																																																																																																	1	2	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	1	1	2	2	2	1																																																																										1		1		2				22	193	568	25	9	453		2022-06-15 15:41:49	1	0	5	5	4	1	1.09	14
1274	"CASE001273"	"1273"	"bogen1"	"interview"	2022-06-15 15:47:01	2	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	2	1	2	2	1																																																																																																																																																																																																																																																																										7		1		2				16	100	265	18	2	294		2022-06-15 15:53:42	1	0	5	5	4	1	1.08	18
1322	"CASE001321"	"1321"	"bogen6"	"interview"	2022-06-15 18:14:23																																																																																																																									2	2	2	1	1	2	1	2	1	1	1	1	2	1	1	2	2	1	2	2	2	2	2	1																																																																																																																																																		4		2	2	2			"The highlighted areas were important to understand WHY it categorizes certain pictures the way it does. If it categorizes a black plastic circle as a ""lens cap"" by the name ""Canon"" on the cap, then that is understandable and desirable. If it recognizes fur coat by the woman wearing it, then it does not make sense."	495	87	393	23	290	0		2022-06-15 18:35:51	1	0	5	5	0	0		100
1324	"CASE001323"	"1323"	"bogen12"	"interview"	2022-06-15 18:25:16																																																																																																																																																																																																																																																																									2	1	1	1	2	2	1	1	1	1	2	2	1	1	2	1	2	2	1	1	1	1	2	1		5		2	4	2				113	50	195	11	6	375		2022-06-15 18:31:32	1	0	5	5	3	1	1.55	35
1346	"CASE001345"	"1345"	"bogen11"	"interview"	2022-06-15 18:54:01																																																																																																																																																																																																																																																	2	2	2	1	1	1	2	2	2	1	2	1	2	2	2	1	1	2	2	2	1	2	2	2																										5		4	3	2				29	181	276	16	7	509		2022-06-15 19:02:30	1	0	5	5	3	1	0.92	5
1350	"CASE001349"	"1349"	"bogen2"	"interview"	2022-06-15 19:09:39																									2	1	2	1	1	2	1	2	2	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1																																																																																																																																																																																																																																																		1		1		2				2	45	132	10	2	191		2022-06-15 19:12:50	1	0	5	5	7	1	2.29	150
1370	"CASE001369"	"1369"	"bogen2"	"interview"	2022-06-15 21:05:32																									1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																	"I believe there is bias in the perceived complexity of the image translating into yes/no answers."	5		3	3	2				62	44	236	12	7	361		2022-06-15 21:11:33	1	0	5	5	3	1	1.21	18
1372	"CASE001371"	"1371"	"bogen11"	"interview"	2022-06-15 21:09:50																																																																																																																																																																																																																																																	2	1	2	1	1	1	2	1	2	1	1	1	1	2	2	2	1	1	2	2	2	2	1	2																										4		1		2			"Nice"	16	69	372	24	13	494		2022-06-15 21:18:04	1	0	5	5	0	0	0.98	6
1380	"CASE001379"	"1379"	"bogen4"	"interview"	2022-06-15 21:59:42																																																																									1	2	2	1	1	1	1	2	1	1	2	2	2	2	1	2	1	2	2	2	2	1	2	2																																																																																																																																																																																																		4		2	3	2				19	487	205	16	13	0		2022-06-15 22:12:02	1	0	5	5	3	1		100
1384	"CASE001383"	"1383"	"bogen10"	"interview"	2022-06-15 22:14:42																																																																																																																																																																																																																									1	1	2	1	2	1	1	2	1	1	1	2	1	1	2	2	1	1	1	2	2	2	2	1																																																		4		2	3	2				19	75	556	20	10	0		2022-06-15 22:26:02	1	0	5	5	3	1		100
1394	"CASE001393"	"1393"	"bogen7"	"interview"	2022-06-16 02:16:38																																																																																																																																																	1	2	2	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	2	1	1	1	1																																																																																																																										5		3	3	2			"It was helpful for me bcz i gonna work on xai for my phd thesis and i need to read this kind of article.thank you so much.plz if possible write about xai in image quality assessment."	12	44	271	46	205	0		2022-06-16 02:26:16	1	0	5	5	0	0		100
1402	"CASE001401"	"1401"	"bogen2"	"interview"	2022-06-16 08:25:23																									1	2	2	1	1	2	1	2	2	2	1	1	1	1	2	1	2	1	1	1	2	1	2	1																																																																																																																																																																																																																																																		4		3	3	2				43	179	192	27	8	449		2022-06-16 08:32:52	1	0	5	5	7	1	0.74	0
1412	"CASE001411"	"1411"	"bogen1"	"interview"	2022-06-16 09:07:59	2	2	1	1	1	2	1	1	1	1	1	2	1	2	1	2	2	1	1	2	2	2	2	2																																																																																																																																																																																																																																																																										3		2	3	2				9	39	110	30	10	198		2022-06-16 09:11:17	1	0	5	5	3	1	1	8
1422	"CASE001421"	"1421"	"bogen9"	"interview"	2022-06-16 10:55:11																																																																																																																																																																																																	1	2	1	1	1	2	2	1	1	2	2	1	1	2	1	1	1	2	2	2	1	2	1	1																																																																										4		1		2				52	208	176	16	4	456		2022-06-16 11:02:48	1	0	5	5	4	1	1.37	21
1436	"CASE001435"	"1435"	"bogen4"	"interview"	2022-06-16 14:24:40																																																																									1	1	2	2	1	1	2	1	2	1	2	2	2	2	1	1	1	2	2	2	2	2	2	1																																																																																																																																																																																																		5		4	3	2				13	58	186	16	8	0		2022-06-16 14:29:21	1	0	5	5	3	1		100
1442	"CASE001441"	"1441"	"bogen3"	"interview"	2022-06-16 16:45:20																																																	2	2	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	2	1	1	1																																																																																																																																																																																																																										4		3	5	2				14	149	393	33	13	602		2022-06-16 16:55:22	1	0	5	5	3	1	0.69	0
1448	"CASE001447"	"1447"	"bogen10"	"interview"	2022-06-16 19:03:36																																																																																																																																																																																																																									1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2																																																		1		2	4	2				12	272	305	21	12	0		2022-06-16 19:13:58	1	0	5	5	3	1		100
1452	"CASE001451"	"1451"	"bogen1"	"interview"	2022-06-16 21:57:33	2	2	1	2	1	2	2	2	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1	1																																																																																																																																																																																																																																																																										3		2	3	2				5	15	187	10	5	222		2022-06-16 22:01:15	1	0	5	5	3	1	1.76	46
1456	"CASE001455"	"1455"	"bogen5"	"interview"	2022-06-17 09:48:20																																																																																																	1	2	2	1	2	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	1	1	1	2																																																																																																																																																																										4		1		2				20	97	241	23	2	0		2022-06-17 09:54:43	1	0	5	5	4	1		100
1460	"CASE001459"	"1459"	"bogen4"	"interview"	2022-06-17 10:10:04																																																																									1	1	1	1	2	1	1	1	2	2	2	2	2	1	1	1	1	2	2	1	2	1	2	1																																																																																																																																																																																																		3		2	3	2				86	5850	126	21	9	0		2022-06-17 11:51:36	1	0	5	5	3	1		100
1462	"CASE001461"	"1461"	"bogen8"	"interview"	2022-06-17 10:41:02																																																																																																																																																																									1	1	1	1	2	2	1	1	2	2	1	1	2	1	1	1	2	1	1	1	2	2	2	2																																																																																																		4		2	3	2				45	141	242	41	12	481		2022-06-17 10:49:03	1	0	5	5	3	1	0.61	4
1474	"CASE001473"	"1473"	"bogen2"	"interview"	2022-06-17 12:54:03																									2	2	2	1	2	2	1	2	2	1	1	1	1	2	2	2	2	2	1	2	2	1	2	2																																																																																																																																																																																																																																																		4		3	4	2				1039	51	649	16	11	300		2022-06-17 13:23:29	1	0	5	5	7	1	0.81	11
1482	"CASE001481"	"1481"	"bogen8"	"interview"	2022-06-17 14:04:53																																																																																																																																																																									2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	2	2																																																																																																		2		1		2				46	110	152	17	4	329		2022-06-17 14:10:22	1	0	5	5	4	1	1.15	34
1488	"CASE001487"	"1487"	"bogen5"	"interview"	2022-06-17 16:05:57																																																																																																	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	1	2	2																																																																																																																																																																										2		3	3	2				3	43	162	15	9	0		2022-06-17 16:09:49	1	0	5	5	3	1		100
1490	"CASE001489"	"1489"	"bogen3"	"interview"	2022-06-18 00:49:47																																																	1	2	1	2	1	1	1	1	1	1	2	1	2	2	1	1	2	2	2	2	1	1	2	1																																																																																																																																																																																																																										2		3	2	2				10	115	195	12	8	340		2022-06-18 00:55:27	1	0	5	5	3	1	1.2	12
1502	"CASE001501"	"1501"	"bogen6"	"interview"	2022-06-18 16:08:33																																																																																																																									2	1	1	2	2	2	2	2	1	1	1	2	2	1	2	2	2	1	1	1	2	1	2	1																																																																																																																																																		5		3	4	2				45	188	271	13	7	0		2022-06-18 16:17:17	1	0	5	5	3	1		100
1514	"CASE001513"	"1513"	"bogen9"	"interview"	2022-06-19 21:54:15																																																																																																																																																																																																	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1																																																																										3		2	2	2			"Very interesting, thanks "	74	210	231	25	16	556		2022-06-19 22:03:31	1	0	5	5	0	0	0.76	0
1536	"CASE001535"	"1535"	"bogen10"	"interview"	2022-06-20 18:19:50																																																																																																																																																																																																																									1	1	2	1	1	2	1	2	1	2	1	2	2	1	2	1	1	1	2	2	2	2	1	1																																																		4		5	2	2				55	239	474	42	12	0		2022-06-20 18:33:32	1	0	5	5	3	1		100
1538	"CASE001537"	"1537"	"bogen7"	"interview"	2022-06-20 20:35:10																																																																																																																																																	1	2	1	2	1	2	1	1	2	2	2	1	2	1	2	1	1	1	1	2	1	1	2	2																																																																																																																										5		1		2				2	20	65	10	3	0		2022-06-20 20:36:50	1	0	5	5	4	1		100
1542	"CASE001541"	"1541"	"bogen9"	"interview"	2022-06-20 23:43:13																																																																																																																																																																																																	2	2	1	2	1	2	2	2	2	1	1	2	2	2	1	1	2	2	2	2	2	2	1	1																																																																										3		4	3	2			"It would be helpful to know, if the AI model was actually trained on data as specific as e.g. water tank or boathouse. "	552	139	976	55	78	422		2022-06-21 00:13:13	1	0	5	5	0	0	0.41	3
1556	"CASE001555"	"1555"	"bogen4"	"interview"	2022-06-21 15:30:38																																																																									1	2	2	1	2	2	1	1	1	2	2	2	1	1	1	1	1	1	2	1	2	2	2	1																																																																																																																																																																																																		3		3	4	2				7	45	151	17	9	0		2022-06-21 15:34:27	1	0	5	5	3	1		100
1558	"CASE001557"	"1557"	"bogen3"	"interview"	2022-06-21 15:51:28																																																	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	2	2	1	1	2	1																																																																																																																																																																																																																										3		3	3	2			"Were these random images? I had the feeling these were especially difficult images to classify for an AI, as most objects were obscured or in unusual positions / contexts / backgrounds. I think this might bias the results of the AI and also of the rater! (Grias de Strolls :D)"	43	87	154	18	90	315		2022-06-21 15:58:00	1	0	5	5	0	0	0.76	4
1560	"CASE001559"	"1559"	"bogen12"	"interview"	2022-06-21 15:58:58																																																																																																																																																																																																																																																																									1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1	1	2	1	1		7		1		2				55	78	173	25	4	335		2022-06-21 16:04:34	1	0	5	5	4	1	1.33	33
1562	"CASE001561"	"1561"	"bogen9"	"interview"	2022-06-21 16:02:49																																																																																																																																																																																																	1	2	1	2	1	2	2	1	1	1	1	2	1	1	1	1	2	2	2	2	1	2	2	1																																																																										3		1		2				7	75	158	15	3	258		2022-06-21 16:07:07	1	0	5	5	4	1	2.18	105
1564	"CASE001563"	"1563"	"bogen6"	"interview"	2022-06-21 16:10:55																																																																																																																									2	1	1	1	1	2	2	2	1	2	2	2	1	1	2	1	2	1	2	1	1	1	1	2																																																																																																																																																		3		2	3	2				30	104	343	382	9	0		2022-06-21 16:25:23	1	0	5	5	3	1		100
1566	"CASE001565"	"1565"	"bogen5"	"interview"	2022-06-21 16:26:42																																																																																																	1	2	2	2	2	2	1	1	1	1	1	2	2	2	1	1	1	2	1	1	2	2	2	1																																																																																																																																																																										4		1		2			"You should specify faces of dogs if several dogs Are shown in one picture "	12	129	185	12	26	0		2022-06-21 16:32:47	1	0	5	5	0	0		100
1573	"CASE001572"	"1572"	"bogen1"	"interview"	2022-06-21 17:14:45	1	2	1	1	1	1	1	2	1	1	2	2	1	2	1	1	2	2	1	1	1	2	2	2																																																																																																																																																																																																																																																																										6	"PhD candidate "	1		2			"I guess, my interpretation is mostly based on the assignability of the object itself. That means, if I was able to certainly recognise the object, I was rather sure the AI was also able to."	8	162	261	25	282	358		2022-06-21 17:27:03	1	0	5	5	0	0	0.58	1
1578	"CASE001577"	"1577"	"bogen11"	"interview"	2022-06-21 19:34:59																																																																																																																																																																																																																																																	1	2	1	1	1	1	2	2	2	1	2	1	1	2	2	1	1	2	2	2	1	2	2	2																										4		5	3	1	"Glasses"	1		2	235	260	22	15	534		2022-06-21 19:43:53	1	0	5	5	3	1	1.21	71
1580	"CASE001579"	"1579"	"bogen2"	"interview"	2022-06-21 19:36:09																									1	2	2	1	1	2	1	2	2	1	2	1	1	1	2	2	1	1	1	2	1	2	2	1																																																																																																																																																																																																																																																	"IK must learn a lot, to work better :-)"	1		1		2			"It was a pleasure, to try to think as KI and the computer."	5	142	366	39	47	559		2022-06-21 19:46:08	1	0	5	5	0	0	0.97	43
1588	"CASE001587"	"1587"	"bogen12"	"interview"	2022-06-22 12:42:10																																																																																																																																																																																																																																																																									2	1	1	2	2	1	1	2	1	1	1	1	2	1	1	2	2	2	1	1	1	1	2	1		3		4	3	2				10	208	260	19	16	513		2022-06-22 12:50:43	1	0	5	5	3	1	1.19	18
1590	"CASE001589"	"1589"	"bogen5"	"interview"	2022-06-22 12:42:11																																																																																																	2	2	2	2	2	2	1	1	1	1	1	2	2	2	1	1	1	2	1	1	2	2	2	2																																																																																																																																																																										4		5	3	2				7035	355	787	35	66	0		2022-06-22 15:00:09	1	0	5	5	3	1		100
1594	"CASE001593"	"1593"	"bogen8"	"interview"	2022-06-22 12:42:32																																																																																																																																																																									1	2	1	1	1	1	2	1	2	1	1	2	2	2	2	1	1	1	2	2	1	2	2	1																																																																																																		1		2	4	2				9	17	99	12	25	162		2022-06-22 12:45:14	1	0	5	5	3	1	1.54	30
1604	"CASE001603"	"1603"	"bogen9"	"interview"	2022-06-22 12:48:50																																																																																																																																																																																																	2	1	1	2	1	2	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	2	1	1																																																																										2		1		2			"Hard to understand for people without any experience in AI."	58	234	252	30	55	585		2022-06-22 12:59:19	1	0	5	5	0	0	0.64	0
1608	"CASE001607"	"1607"	"bogen2"	"interview"	2022-06-22 13:43:25																									1	2	2	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1																																																																																																																																																																																																																																																		3		2	3	1	"red-green color blindness"	2		7	14	131	30	12	194		2022-06-22 13:46:40	1	0	5	5	6	1	1.72	99
1610	"CASE001609"	"1609"	"bogen1"	"interview"	2022-06-22 14:16:17	1	1	2	2	1	2	2	2	1	1	2	2	2	2	1	2	2	2	1	1	2	2	2	2																																																																																																																																																																																																																																																																										2		1		2				112	175	187	95	5	399		2022-06-22 14:25:51	1	0	5	5	4	1	0.49	0
1620	"CASE001619"	"1619"	"bogen3"	"interview"	2022-06-22 20:01:12																																																	1	2	1	2	1	2	1	1	1	1	2	2	1	2	1	1	1	2	2	1	1	1	2	1																																																																																																																																																																																																																										2		2	4	2				6	44	168	16	9	243		2022-06-22 20:05:15	1	0	5	5	3	1	1.53	26